Date,Close_tech,High,Low,Open,Volume,SMA_14,EMA_14,RSI_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,MACD,MACD_Signal,Rolling_Std_14,Close_Lag1,Rolling_Mean_7,Ticker,Close_sent,mean_compound,positive_ratio,negative_ratio,neutral_ratio,NextDay_Return,Target
2020-10-07,111.94036865234376,112.39754721573829,111.01628226939263,111.49291934511136,96849000.0,109.48355538504464,110.57100555849716,56.39159118556434,109.65544815063475,2.90419660246126,115.46384135555728,103.84705494571224,0.5226516429962089,0.1332391537221854,3.2702865228919427,110.07273864746094,111.78611864362443,AAPL,111.94036865234376,,,,,-0.000955886241835846,0
2020-10-08,111.83336639404295,113.224353141667,111.46372888130158,113.07844398775582,83477200.0,110.04842703683036,110.73932033656992,62.06587958332634,109.72742919921876,2.9410651471481914,115.60955949351514,103.84529890492236,0.5731702720374301,0.2212253773852344,2.898153660846545,111.94036865234376,111.90840584891184,AAPL,111.83336639404295,,,,,0.017395764820879123,1
2020-10-09,113.77879333496094,113.807973679274,111.78471903276537,112.13489800701674,100506900.0,110.52714375087191,111.14458340302204,60.61632139361901,109.969149017334,3.0691955253074297,116.10754006794885,103.83075796671912,0.7614092926753102,0.3292621604432496,2.922950017472957,111.83336639404295,112.06959751674108,AAPL,113.77879333496094,,,,,0.06352057980258308,1
2020-10-12,121.00608825683594,121.76480690611336,116.02577075981998,116.78448940909738,240226800.0,111.4018941606794,112.4594507168639,66.50061616181969,110.40881805419922,3.91954319346214,118.2479044411235,102.56973166727494,1.4767493249180743,0.5587595933382146,3.990745523183364,113.77879333496094,113.12707955496651,AAPL,121.00608825683594,,,,,-0.026527204988994524,0
2020-10-13,117.79613494873048,121.96909558575004,116.38569697728092,121.85236676734615,262330500.0,112.37322289603097,113.17100861444612,69.01522587032407,110.67923393249512,4.236974315635709,119.15318256376652,102.20528530122373,1.764307213636414,0.7998691173978545,3.750009488856956,121.00608825683594,114.24987465994698,AAPL,117.79613494873048,,,,,0.0007430807767598857,1
2020-10-14,117.8836669921875,119.67346409750246,116.35650041512618,117.6988482441124,150712000.0,113.2743753705706,113.79936306481164,68.13983193454303,111.11987495422365,4.510343266427211,120.14056148707806,102.0991884213692,1.9764784038352587,1.0351909746853354,3.411727739532501,117.79613494873048,114.90159388950892,AAPL,117.8836669921875,,,,,-0.003960780384859697,0
2020-10-15,117.41675567626952,117.8933852834975,114.92660067544894,115.48104948176436,112559200.0,113.86009052821568,114.28168207967268,63.10225343857472,111.6242290496826,4.626686616824174,120.87760228333096,102.37085581603426,2.082938936153326,1.2447405669789335,3.3650990007249653,117.8836669921875,115.95073917933873,AAPL,117.41675567626952,,,,,-0.014000410265100571,0
2020-10-16,115.77287292480467,118.23385526990404,115.56860307094232,117.97121729976094,115393800.0,114.14217921665735,114.48050752569029,56.51058993578142,112.2166145324707,4.338539487815229,120.89369350810117,103.53953555684024,2.011475043281081,1.398087462239363,3.346733431052439,117.41675567626952,116.49823978969027,AAPL,115.77287292480467,,,,,-0.025541856770749827,0
2020-10-19,112.8158187866211,117.1346809665428,112.50454937346234,116.68723164895508,120639300.0,114.2734979901995,114.25854902714774,52.833622805294944,112.5035675048828,4.167099628820137,120.83776676252307,104.16936824724252,1.6966716627051994,1.4578043023325304,3.2476005533378416,115.77287292480467,116.63859013148716,AAPL,112.8158187866211,,,,,0.0076737024662549835,1
2020-10-21,113.68153381347656,115.47133103249566,113.27298669065874,113.4869857975519,89946000.0,114.3971710205078,114.1868720478172,50.121880865516665,113.25499114990234,3.5560077836522206,120.36700671720678,106.1429755825979,1.3667264000783348,1.4542464633943226,3.212525445805753,114.3040542602539,115.66726248604913,AAPL,113.68153381347656,,,,,-0.009583458664984001,0
