date,Close,mean_compound,positive_ratio,negative_ratio,neutral_ratio,company
2020-08-21,120.97691345214844,,,,,AAPL
2020-08-24,122.42382049560548,,,,,AAPL
2020-08-25,121.41950225830078,,,,,AAPL
2020-08-26,123.07068634033205,,,,,AAPL
2020-08-27,121.59944152832033,,,,,AAPL
2020-08-28,121.4024887084961,,,,,AAPL
2020-08-31,125.51947784423828,,,,,AAPL
2020-09-01,130.5192413330078,,,,,AAPL
2020-09-02,127.81513214111328,,,,,AAPL
2020-09-03,117.58212280273438,,,,,AAPL
2020-09-04,117.65991973876952,,,,,AAPL
2020-09-08,109.74202728271484,,,,,AAPL
2020-09-09,114.11924743652344,,,,,AAPL
2020-09-10,110.39373779296876,,,,,AAPL
2020-09-11,108.9443817138672,,,,,AAPL
2020-09-14,112.21271514892578,,,,,AAPL
2020-09-15,112.3878173828125,,,,,AAPL
2020-09-16,109.0708465576172,,,,,AAPL
2020-09-17,107.32969665527344,,,,,AAPL
2020-09-18,103.92514038085938,,,,,AAPL
2020-09-21,107.0767593383789,,,,,AAPL
2020-09-22,108.75958251953124,,,,,AAPL
2020-09-23,104.19754028320312,,,,,AAPL
2020-09-24,105.26752471923828,,,,,AAPL
2020-09-25,109.21674346923828,,,,,AAPL
2020-09-28,111.82363891601562,,,,,AAPL
2020-09-29,110.97737121582033,,,,,AAPL
2020-09-30,112.65044403076172,,,,,AAPL
2020-10-01,113.60369873046876,,,,,AAPL
2020-10-02,109.93657684326172,,,,,AAPL
2020-10-05,113.32162475585938,,,,,AAPL
2020-10-06,110.07274627685548,,,,,AAPL
2020-10-07,111.94035339355467,,,,,AAPL
2020-10-08,111.83338165283205,,,,,AAPL
2020-10-09,113.7787857055664,,,,,AAPL
2020-10-12,121.006103515625,,,,,AAPL
2020-10-13,117.79611206054688,,,,,AAPL
2020-10-14,117.8836669921875,,,,,AAPL
2020-10-15,117.41676330566406,,,,,AAPL
2020-10-16,115.77286529541016,,,,,AAPL
2020-10-19,112.81581115722656,,,,,AAPL
2020-10-20,114.30406188964844,,,,,AAPL
2020-10-21,113.68152618408205,,,,,AAPL
2020-10-22,112.59207153320312,,,,,AAPL
2020-10-23,111.90145874023438,,,,,AAPL
2020-10-26,111.91118621826172,,,,,AAPL
